File Name: Elect3.log
Channel 2: 'RF_L', 195910 values, raw ADC, no filters.
Channel 3: 'TA_R', 195910 values, raw ADC, no filters.

-24,-5
-8,23
-8,29
16,-2
4,0
8,-12
-3,-29
-13,0
-31,3
-27,-6
-3,-1
14,-4
17,32
5,21
-20,-4
-23,-6
-2,-21
1,-5
2,-8
-20,-14
-24,19
-1,15
-8,5
-11,-23
5,-28
13,-31
2,-20
-16,21
-6,-35
-11,-19
-8,2
11,12
-27,12
-14,2
7,11
-24,6
-22,-11
-30,-2
-5,-39
-1,-9
-34,8
-4,6
2,-28
-19,-3
-17,13
-40,-28
-25,-21
16,-9
3,3
-17,-10
-13,-8
13,8
2,-6
-15,-13
8,-24
-3,-18
5,-7
1,-25
-26,-5
3,-30
4,1
-1,-7
4,0
3,40
25,21
8,-1
-6,18
-7,10
8,-19
-4,-17
-10,-14
-7,2
7,-21
2,-16
-14,-6
27,-18
19,-21
26,7
-1,0
-7,-4
4,-1
3,15
-19,-18
-4,-25
3,-1
-15,-4
-5,-14
-7,-34
-28,-31
-13,-29
-16,-13
-40,-8
-2,-5
-11,5
-2,-2
22,3
1,16
-5,3
4,-10
12,-3
-19,-7
16,13
8,21
27,2
15,20
-19,37
-8,-14
-33,-16
-20,-15
10,-16
-9,-24
-16,-9
-32,18
-4,7
5,0
-3,9
-17,6
-1,-29
-14,-10
-18,-7
-26,-5
-21,6
4,-3
-1,-3
-1,-1
-16,-21
-21,-24
-35,-28
-11,-6
14,17
14,9
-24,14
-26,0
-2,-18
-3,-2
20,0
4,0
-2,-35
3,-22
4,-3
13,20
24,21
26,-4
3,7
-13,7
-7,32
-23,-22
-8,-14
13,3
2,-7
12,-16
10,-14
-3,2
-27,-5
-24,-43
2,-40
5,-7
-14,-14
-25,-35
12,-10
21,-22
16,7
20,19
10,5
-22,6
-13,4
-24,-15
-30,-16
-29,-16
-29,-9
2,4
1,0
9,9
10,30
5,32
10,2
12,-21
5,-21
3,19
13,-3
13,0
10,15
48,-12
38,-15
20,-14
14,12
28,-13
22,-7
12,-22
-15,-16
-4,-9
4,-24
-23,-5
-2,11
0,6
-5,-29
-34,-8
-8,-15
-15,0
-23,-5
-25,9
-22,32
7,23
6,-9
3,18
-22,-1
-26,-2
-17,-5
0,-5
0,4
-21,5
10,18
3,7
6,-9
12,-5
-32,-12
-11,-33
-5,-26
17,-12
5,-23
16,-13
-12,-12
-3,11
0,-21
-24,-12
-20,-16
-4,-18
8,-9
18,-29
1,4
3,-9
18,-27
-17,-23
-13,-35
4,-24
-16,-12
-7,-31
-16,7
-6,-18
-2,-12
-12,-5
-1,-19
-2,-14
-30,3
-5,-26
3,-18
0,-9
-25,-2
-38,-1
-4,2
-14,-1
6,8
6,15
9,25
8,17
16,5
23,-5
-11,19
13,-26
-17,-26
-36,4
-27,11
0,-1
4,-4
-4,-5
0,14
-36,17
-50,3
-28,0
-18,5
-21,11
-33,0
-9,-21
-15,11
-6,-7
-11,-8
-22,5
23,1
-25,6
-3,7
-5,10
-14,-23
-6,1
-19,15
6,35
-8,4
3,12
9,21
5,13
16,-24
-9,-31
-17,-11
-13,-32
-2,-52
-11,-29
-13,-11
1,7
-9,-35
3,-6
-9,-7
-10,-16
9,-17
-3,-26
-6,-1
0,-28
13,-21
21,-10
-16,7
-27,-18
3,7
-5,6
-3,6
9,5
28,24
28,-2
-4,-27
5,-10
11,-15
12,2
2,-8
-2,-24
-15,-6
7,-7
-1,-25
13,0
36,-5
-30,-5
21,-12
0,-17
-23,-21
6,-12
-5,-9
25,7
7,2
5,31
-9,0
-31,2
-14,9
-4,-13
9,6
-7,-27
-23,-25
13,5
7,-21
3,-5
-2,-16
-9,-13
-18,-12
-14,-5
-11,41
-36,2
-4,-26
-2,-1
21,9
6,-20
-8,1
17,20
9,-15
12,-5
22,-24
-4,11
-6,-24
24,-22
-17,-17
-15,-27
-7,1
-5,-2
6,6
-29,39
-8,10
2,9
-31,-10
23,-8
0,-14
-19,3
11,3
-3,7
22,-9
-23,-3
-23,7
-15,-13
-35,-3
-2,34
10,-4
-3,2
-12,3
6,-8
-6,-14
-15,-9
8,-10
19,-20
14,-12
17,-19
16,-28
21,-8
26,4
-8,8
-15,-14
8,-14
10,3
13,-1
-4,-3
-33,-5
-13,-16
-41,-3
-61,8
-2,-3
8,-1
-23,2
-22,-9
9,-26
10,-16
16,-1
5,-15
10,-24
1,-7
38,2
28,-7
1,-9
3,11
-9,-21
3,-12
-5,39
-2,5
-18,-4
-9,5
-12,11
-29,13
-14,7
20,-6
7,-13
-6,18
-29,0
-8,-14
-12,2
-37,10
-11,-1
11,-15
9,3
4,16
6,3
-5,1
-29,0
-11,-10
3,-19
-17,-33
11,-34
-3,-12
-19,-17
-5,-4
5,6
2,-5
-36,8
-8,-26
-1,-25
2,-17
2,2
-5,6
5,-1
7,-33
-3,-26
-5,4
20,-8
-14,-2
-15,-7
-7,-26
13,-30
30,-24
12,-6
-21,15
-21,7
8,-9
19,-4
-11,4
-4,-6
-13,-8
9,-15
3,-12
12,0
10,-3
-17,-1
-20,-1
-28,-7
-20,-6
-2,6
-1,1
-3,9
-3,5
-9,3
-11,3
-3,3
-34,9
-9,-29
-5,-2
-1,-10
14,-2
-2,9
-18,-12
-20,6
16,-13
-8,10
-21,5
-12,-9
18,-2
9,-9
17,6
4,-5
11,14
4,7
-2,9
-25,18
-36,10
-5,0
-11,-21
-24,-6
-8,-5
-23,3
-8,10
6,25
-8,7
-18,0
7,-9
-29,0
-7,-2
-12,-10
-19,15
-16,14
-25,-7
1,9
-13,9
-6,-22
-22,-38
-8,-45
-1,-3
3,1
13,-18
-6,8
-20,-12
-8,-7
1,-28
-17,-19
-26,-2
1,-19
-5,-1
9,0
-1,11
-3,2
-27,9
-40,10
-17,10
10,0
29,-20
-9,6
-18,-6
-20,-21
-19,15
-9,8
12,-13
11,-1
-1,3
24,-3
16,20
8,-5
-11,-10
-13,-4
-5,8
2,39
5,4
32,-32
15,-14
-2,-10
-13,-22
-4,-17
-4,4
-12,-18
1,-20
11,8
21,-18
-25,-18
-59,-21
-20,-17
-47,-30
-7,-42
14,-3
-11,3
0,-10
0,14
-5,18
-11,0
-1,-35
-29,-22
-11,-21
1,-35
12,8
18,21
20,-5
22,-16
31,11
27,3
0,10
-13,-14
0,-1
9,-2
3,30
3,24
1,18
21,45
9,13
-12,-12
0,-9
-23,-34
2,-3
-4,19
-21,-6
0,5
3,-7
7,5
6,3
-36,-6
1,3
-5,19
6,9
-5,-6
-17,-3
-24,9
-21,23
12,-1
-2,9
8,2
-7,-10
6,-13
-13,1
-56,7
-21,14
-14,16
-25,-16
2,-20
-5,-7
-19,-25
-24,5
-20,4
-20,-31
-24,-12
-14,-20
1,-8
18,-21
35,-19
14,-21
2,-29
-6,-15
7,3
-9,-35
-19,-21
7,-11
3,-18
3,17
-4,-10
-5,-44
2,-10
-7,0
-9,-6
1,-14
17,-10
-16,-8
3,-10
15,-18
-6,-7
0,2
14,6
40,-6
30,2
-15,2
-9,34
-32,13
-32,-5
1,16
-25,-17
-27,-7
-29,-8
-28,-14
-9,7
-8,9
-11,32
25,20
-1,11
-26,1
31,-19
-6,-20
-12,8
-23,-24
14,-18
-11,-8
-32,-3
3,-14
9,-15
10,-16
8,-17
5,3
3,-16
-11,-13
-13,-25
3,-19
12,-5
2,9
27,0
15,-6
10,14
4,-2
16,27
-14,11
-8,-15
4,9
-9,-20
-36,-8
-34,2
8,0
-15,12
-4,-21
-15,0
-6,8
-1,5
15,-9
7,-18
6,-2
-6,-12
-19,-12
-1,-11
11,2
6,-9
7,5
6,-9
31,-33
17,-31
-17,-12
-29,-5
2,-16
-17,-21
-9,-5
-13,9
-3,-4
-20,10
-4,8
14,-13
-12,-28
-28,-5
-6,-8
-24,-8
-22,-18
-7,20
-7,29
-43,7
-11,3
-33,-24
-9,-35
-13,-14
-39,-25
-26,-1
-10,-2
7,0
-8,13
-11,9
16,12
1,8
-23,-14
21,17
-11,-9
-4,-24
18,7
4,0
2,21
21,11
-23,10
-29,-4
15,-30
28,4
13,-9
-7,-16
-8,-22
19,-52
11,-18
-24,-17
